2025-05-19 19:39:49,154 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,262 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,305 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,354 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,415 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,489 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,497 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,567 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.45
2025-05-19 19:39:49,578 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,685 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,742 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,795 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.54
2025-05-19 19:39:49,864 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:49,968 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,020 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,087 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.58
2025-05-19 19:39:50,095 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,160 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,171 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,225 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.52
2025-05-19 19:39:50,232 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,382 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,420 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,475 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,503 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,587 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,594 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,655 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,665 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,771 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,810 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.55
2025-05-19 19:39:50,847 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:50,875 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,010 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,035 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,107 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.49
2025-05-19 19:39:51,141 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,198 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,247 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,298 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,363 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,430 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,468 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,534 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.48
2025-05-19 19:39:51,584 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,645 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,676 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,757 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,783 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,926 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,928 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:51,993 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,041 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,101 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,106 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,217 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,223 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.46
2025-05-19 19:39:52,305 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: True | Confidence: 0.56
2025-05-19 19:39:52,334 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,431 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,453 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,567 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,570 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,647 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,697 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,777 | Camera 1 (Raspberry Pi 2 (Sample Video 1)) | Fire Detected: False | Confidence: 0.00
2025-05-19 19:39:52,810 | Camera 0 (Raspberry Pi 1 (Webcam)) | Fire Detected: False | Confidence: 0.00
